ID,Marital Status,Gender,Income,Children,Occupation,Commute Distance,Region,Age,Purchased Bike,Extra_Info
12590,Single,Male,30000.0,1,Clerical,0-1 Miles,Europe,63,No,
17841,Single,Male,30000.0,0,Clerical,0-1 Miles,Europe,29,Yes,
18283,Single,Female,100000.0,0,Professional,5-10 Miles,Pacific,40,No,
18299,Married,Male,70000.0,5,Skilled Manual,5-10 Miles,Pacific,44,No,
16466,Single,Female,20000.0,0,Manual,0-1 Miles,Europe,32,Yes,
19273,Married,Female,20000.0,2,Manual,0-1 Miles,Europe,63,No,
22400,Married,Male,10000.0,0,Manual,0-1 Miles,Pacific,26,Yes,
20942,Single,Female,20000.0,0,Manual,5-10 Miles,Europe,31,No,
18484,Single,Male,80000.0,2,Skilled Manual,1-2 Miles,Pacific,50,Yes,
12291,Single,Male,90000.0,5,Professional,2-5 Miles,Europe,62,Yes,
28380,Single,Female,10000.0,5,Manual,0-1 Miles,Europe,41,No,
17891,Married,Female,10000.0,2,Manual,0-1 Miles,Europe,50,Yes,
27832,Single,Female,30000.0,0,Clerical,2-5 Miles,Europe,30,No,
26863,Single,Male,20000.0,0,Manual,2-5 Miles,Europe,28,No,
16259,Single,Female,10000.0,4,Manual,0-1 Miles,Europe,40,Yes,
27803,Single,Female,30000.0,2,Clerical,0-1 Miles,Europe,43,No,
14347,Single,Female,40000.0,2,Management,5-10 Miles,Pacific,65,Yes,
17703,Married,Female,10000.0,1,Manual,0-1 Miles,Europe,40,No,
17185,Married,Female,170000.0,4,Professional,5-10 Miles,Europe,48,Yes,
29380,Married,Female,20000.0,3,Manual,0-1 Miles,Europe,41,Yes,
23986,Married,Female,20000.0,1,Clerical,0-1 Miles,Europe,66,Yes,
24466,Married,Female,60000.0,1,Skilled Manual,5-10 Miles,Pacific,46,Yes,
29097,Single,Female,40000.0,2,Skilled Manual,5-10 Miles,Pacific,52,Yes,
19487,Married,Male,30000.0,2,Clerical,0-1 Miles,Europe,42,No,
14939,Single,Male,40000.0,0,Clerical,0-1 Miles,Europe,39,Yes,
13826,Single,Female,30000.0,0,Clerical,0-1 Miles,Europe,28,No,
20619,Single,Male,80000.0,0,Professional,10+ Miles,Pacific,35,No,
12558,Married,Female,20000.0,1,Clerical,0-1 Miles,Europe,65,No,
24871,Single,Female,90000.0,4,Management,5-10 Miles,Europe,56,No,
17319,Single,Female,70000.0,0,Professional,5-10 Miles,Pacific,42,No,
28906,Married,Male,80000.0,4,Professional,10+ Miles,Europe,54,No,
12808,Married,Male,40000.0,0,Clerical,0-1 Miles,Europe,38,Yes,
20567,Married,Male,130000.0,4,Professional,5-10 Miles,Europe,61,Yes,
25502,Married,Female,40000.0,1,Skilled Manual,0-1 Miles,Europe,43,Yes,
15580,Married,Male,60000.0,2,Professional,2-5 Miles,Pacific,38,Yes,
24185,Single,Female,10000.0,1,Manual,1-2 Miles,Europe,45,No,
19291,Single,Female,10000.0,2,Manual,0-1 Miles,Europe,35,No,
16713,Married,Male,40000.0,2,Management,0-1 Miles,Pacific,52,Yes,
16185,Single,Male,60000.0,4,Professional,10+ Miles,Pacific,41,No,
14927,Married,Female,30000.0,1,Clerical,0-1 Miles,Europe,37,Yes,
29337,Single,Male,30000.0,2,Clerical,5-10 Miles,Pacific,68,No,
29355,Married,Female,40000.0,0,Clerical,0-1 Miles,Europe,37,Yes,
25303,Single,Male,30000.0,0,Manual,2-5 Miles,Europe,33,Yes,
14813,Single,Female,20000.0,4,Manual,0-1 Miles,Europe,43,Yes,
16438,Married,Female,10000.0,0,Manual,0-1 Miles,Europe,30,No,
14238,Married,Male,120000.0,0,Professional,10+ Miles,Pacific,36,Yes,
16200,Single,Female,10000.0,0,Manual,0-1 Miles,Europe,35,No,
24857,Married,Female,130000.0,3,Professional,0-1 Miles,Europe,52,No,
26956,Single,Female,20000.0,0,Manual,2-5 Miles,Europe,36,Yes,
14517,Married,Female,20000.0,3,Skilled Manual,1-2 Miles,Pacific,62,No,
12678,Single,Female,130000.0,4,Management,0-1 Miles,Pacific,372,No,
16188,Single,Female,20000.0,0,Manual,1-2 Miles,Europe,26,No,
27969,Married,Male,80000.0,0,Professional,10+ Miles,Pacific,29,Yes,
15752,Married,Male,80000.0,2,Skilled Manual,1-2 Miles,Pacific,50,Yes,
27745,Single,Male,40000.0,2,Management,5-10 Miles,Pacific,63,Yes,
20828,Married,Female,30000.0,4,Clerical,0-1 Miles,Europe,45,Yes,
19461,Single,Female,10000.0,4,Manual,0-1 Miles,Europe,40,No,
26941,Married,Male,30000.0,0,Clerical,0-1 Miles,Europe,47,Yes,
28412,Single,Male,20000.0,0,Manual,2-5 Miles,Europe,29,No,
24485,Single,Male,40000.0,2,Management,5-10 Miles,Pacific,52,Yes,
16514,Single,Male,10000.0,0,Manual,1-2 Miles,Pacific,26,Yes,
17191,Single,Male,130000.0,3,Professional,0-1 Miles,Europe,51,Yes,
19608,Married,Male,80000.0,5,Professional,1-2 Miles,Pacific,40,No,
24119,Single,Male,30000.0,0,Clerical,2-5 Miles,Europe,29,No,
25458,Married,Male,20000.0,1,Manual,1-2 Miles,Europe,40,Yes,
26886,Single,Female,30000.0,0,Clerical,0-1 Miles,Europe,29,Yes,
28436,Single,Male,30000.0,0,Clerical,0-1 Miles,Europe,30,Yes,
19562,Single,Female,60000.0,2,Professional,2-5 Miles,Pacific,37,Yes,
15608,Single,Female,30000.0,0,Clerical,2-5 Miles,Europe,33,No,
16487,Single,Female,30000.0,3,Skilled Manual,5-10 Miles,Pacific,55,No,
17197,Single,Female,90000.0,5,Professional,10+ Miles,Europe,62,No,
12507,Married,Male,30000.0,1,Clerical,0-1 Miles,Europe,43,No,
23940,Married,Male,40000.0,1,Skilled Manual,0-1 Miles,Europe,44,Yes,
19441,Single,Male,40000.0,0,Clerical,0-1 Miles,Europe,48,Yes,
26852,Married,Female,20000.0,3,Manual,0-1 Miles,Europe,43,No,
12274,Single,Male,10000.0,2,Manual,0-1 Miles,Europe,35,No,
20236,Single,Male,60000.0,3,Professional,0-1 Miles,Pacific,43,Yes,
24149,Married,Male,10000.0,2,Manual,1-2 Miles,Europe,49,No,
26139,Single,Male,60000.0,1,Skilled Manual,5-10 Miles,Pacific,45,No,
18491,Single,Female,70000.0,2,Professional,5-10 Miles,Pacific,49,Yes,
22707,Single,Female,30000.0,0,Clerical,2-5 Miles,Europe,30,No,
20430,Married,Male,70000.0,2,Skilled Manual,5-10 Miles,Pacific,52,Yes,
27494,Single,Female,40000.0,2,Skilled Manual,1-2 Miles,Pacific,53,Yes,
26829,Married,Female,40000.0,0,Clerical,0-1 Miles,Europe,38,Yes,
28395,Single,Male,40000.0,0,Professional,0-1 Miles,Europe,39,Yes,
21006,Single,Female,43333.33,1,Manual,0-1 Miles,Europe,46,Yes,
14682,Single,Female,70000.0,0,Professional,5-10 Miles,Pacific,38,No,
17650,Single,Female,40000.0,2,Clerical,1-2 Miles,Europe,35,No,
29191,Single,Female,130000.0,1,Management,0-1 Miles,Pacific,36,Yes,
15030,Married,Male,20000.0,0,Clerical,0-1 Miles,Pacific,26,Yes,
24140,Single,Male,10000.0,0,Manual,0-1 Miles,Europe,30,Yes,
22496,Married,Female,30000.0,1,Skilled Manual,0-1 Miles,Europe,42,No,
24065,Single,Female,20000.0,1,Manual,0-1 Miles,Europe,40,Yes,
19914,Married,Male,80000.0,5,Management,2-5 Miles,Europe,62,No,
12871,Single,Female,30000.0,0,Clerical,2-5 Miles,Europe,29,No,
22988,Married,Female,40000.0,2,Management,5-10 Miles,Pacific,66,Yes,
15922,Married,Male,150000.0,2,Professional,0-1 Miles,Europe,48,No,
12344,Single,Female,80000.0,0,Professional,10+ Miles,Pacific,31,No,
23627,Single,Female,100000.0,3,Management,5-10 Miles,Europe,56,No,
27775,Single,Female,40000.0,0,Clerical,0-1 Miles,Europe,38,Yes,
29301,Married,Male,80000.0,5,Professional,1-2 Miles,Pacific,40,No,
12716,Single,Male,30000.0,0,Clerical,2-5 Miles,Europe,32,No,
12472,Married,Male,30000.0,1,Clerical,2-5 Miles,Europe,39,No,
20970,Single,Male,10000.0,2,Manual,0-1 Miles,Europe,52,Yes,
26818,Single,Male,10000.0,3,Manual,0-1 Miles,Europe,39,Yes,
12993,Married,Male,60000.0,2,Professional,2-5 Miles,Pacific,37,No,
14192,Married,Male,90000.0,4,Management,5-10 Miles,Europe,56,Yes,
19477,Married,Male,40000.0,0,Professional,0-1 Miles,Europe,40,Yes,
26796,Single,Male,40000.0,2,Management,5-10 Miles,Pacific,65,Yes,
21094,Single,Female,30000.0,2,Clerical,0-1 Miles,Europe,42,No,
12234,Married,Male,10000.0,2,Manual,2-5 Miles,Europe,52,No,
28683,Single,Female,10000.0,1,Manual,5-10 Miles,Europe,35,Yes,
17994,Single,Male,20000.0,2,Manual,0-1 Miles,Europe,42,No,
24273,Married,Female,20000.0,2,Clerical,5-10 Miles,Pacific,55,Yes,
26547,Single,Female,30000.0,2,Clerical,5-10 Miles,Pacific,60,Yes,
22500,Single,Male,40000.0,0,Professional,0-1 Miles,Europe,40,Yes,
23993,Single,Female,10000.0,0,Manual,0-1 Miles,Pacific,26,Yes,
14832,Married,Male,40000.0,1,Skilled Manual,0-1 Miles,Europe,42,Yes,
16614,Married,Female,80000.0,0,Professional,10+ Miles,Pacific,32,No,
20877,Single,Male,30000.0,1,Clerical,1-2 Miles,Europe,37,Yes,
20729,Married,Female,40000.0,2,Clerical,0-1 Miles,Europe,34,No,
22464,Married,Male,40000.0,0,Clerical,0-1 Miles,Europe,37,Yes,
19475,Married,Female,40000.0,0,Professional,0-1 Miles,Europe,40,Yes,
19675,Married,Male,20000.0,4,Skilled Manual,5-10 Miles,Pacific,60,No,
12728,Single,Male,30000.0,0,Clerical,1-2 Miles,Europe,27,No,
26154,Single,Male,60000.0,1,Skilled Manual,5-10 Miles,Pacific,43,Yes,
29117,Single,Male,100000.0,1,Management,0-1 Miles,Pacific,48,No,
17845,Single,Female,20000.0,0,Manual,1-2 Miles,Europe,32,No,
25058,Married,Male,100000.0,1,Management,2-5 Miles,Pacific,47,No,
23426,Single,Female,80000.0,5,Management,0-1 Miles,Pacific,40,No,
14798,Single,Female,10000.0,4,Manual,0-1 Miles,Europe,41,Yes,
12664,Married,Female,130000.0,5,Professional,0-1 Miles,Europe,59,No,
23979,Single,Male,10000.0,2,Manual,0-1 Miles,Europe,50,No,
25605,Single,Female,20000.0,2,Manual,0-1 Miles,Europe,54,Yes,
20797,Married,Female,10000.0,1,Manual,0-1 Miles,Europe,48,No,
21980,Single,Female,60000.0,1,Professional,5-10 Miles,Pacific,44,Yes,
25460,Married,Female,20000.0,2,Manual,0-1 Miles,Europe,40,Yes,
29181,Single,Female,60000.0,2,Professional,0-1 Miles,Pacific,38,Yes,
24279,Single,Male,40000.0,2,Skilled Manual,1-2 Miles,Pacific,52,No,
22402,Married,Male,10000.0,0,Manual,2-5 Miles,Pacific,25,Yes,
15465,Married,Female,10000.0,0,Manual,0-1 Miles,Pacific,25,No,
26757,Single,Male,90000.0,1,Professional,2-5 Miles,Pacific,47,Yes,
14233,Single,Male,100000.0,0,Management,10+ Miles,Pacific,35,No,
14058,Single,Male,70000.0,0,Professional,5-10 Miles,Pacific,41,Yes,
12273,Married,Male,30000.0,1,Clerical,0-1 Miles,Europe,47,No,
17203,Married,Female,130000.0,4,Professional,5-10 Miles,Europe,61,Yes,
18144,Married,Female,80000.0,5,Management,2-5 Miles,Europe,61,No,
23963,Married,Male,10000.0,0,Manual,0-1 Miles,Europe,33,No,
17907,Married,Female,10000.0,0,Manual,2-5 Miles,Pacific,27,No,
19442,Single,Male,50000.0,0,Skilled Manual,0-1 Miles,Europe,37,Yes,
17504,Single,Female,80000.0,2,Skilled Manual,5-10 Miles,Pacific,52,Yes,
12253,Single,Female,20000.0,0,Manual,0-1 Miles,Pacific,29,Yes,
27304,Single,Female,110000.0,2,Professional,5-10 Miles,Europe,48,No,
14191,Married,Male,160000.0,4,Professional,10+ Miles,Europe,55,Yes,
12212,Married,Female,10000.0,0,Manual,0-1 Miles,Europe,37,Yes,
25529,Single,Male,10000.0,1,Manual,0-1 Miles,Europe,44,No,
22170,Married,Female,30000.0,3,Clerical,1-2 Miles,Pacific,55,Yes,
19445,Married,Female,10000.0,2,Manual,0-1 Miles,Europe,38,No,
15265,Single,Male,40000.0,2,Management,5-10 Miles,Pacific,66,Yes,
28918,Married,Female,130000.0,4,Management,10+ Miles,Europe,58,No,
15799,Married,Female,90000.0,1,Professional,2-5 Miles,Pacific,47,Yes,
11047,Married,Female,30000.0,3,Skilled Manual,1-2 Miles,Pacific,56,Yes,
18151,Single,Male,80000.0,5,Professional,10+ Miles,Europe,59,No,
20606,Married,Female,70000.0,0,Professional,10+ Miles,Pacific,32,Yes,
19482,Married,Male,30000.0,1,Clerical,0-1 Miles,Europe,44,Yes,
16489,Married,Male,30000.0,3,Skilled Manual,5-10 Miles,Pacific,55,No,
26944,Single,Male,20000.0,2,Manual,0-1 Miles,Europe,36,Yes,
15682,Single,Female,80000.0,5,Management,10+ Miles,Europe,62,No,
26032,Married,Female,70000.0,5,Professional,10+ Miles,Pacific,41,No,
17843,Single,Female,10000.0,0,Manual,0-1 Miles,Europe,32,No,
25559,Single,Male,20000.0,0,Clerical,0-1 Miles,Pacific,25,Yes,
16209,Single,Female,50000.0,0,Skilled Manual,1-2 Miles,Europe,36,No,
11147,Married,Male,60000.0,2,Management,0-1 Miles,Pacific,67,Yes,
15214,Single,Female,100000.0,0,Management,1-2 Miles,Pacific,39,Yes,
11453,Single,Male,80000.0,0,Professional,10+ Miles,Pacific,33,Yes,
24584,Single,Male,60000.0,0,Professional,2-5 Miles,Pacific,31,No,
12585,Married,Male,10000.0,1,Manual,2-5 Miles,Pacific,27,Yes,
18626,Single,Male,40000.0,2,Clerical,1-2 Miles,Europe,33,Yes,
29298,Single,Female,60000.0,1,Skilled Manual,5-10 Miles,Pacific,46,Yes,
24842,Single,Female,90000.0,3,Professional,2-5 Miles,Europe,51,No,
15657,Married,Male,30000.0,3,Clerical,0-1 Miles,Europe,46,Yes,
11415,Single,Male,90000.0,5,Professional,10+ Miles,Europe,62,No,
28729,Single,Female,20000.0,0,Manual,1-2 Miles,Europe,26,Yes,
22633,Single,Female,40000.0,0,Clerical,0-1 Miles,Europe,37,Yes,
25649,Single,Female,30000.0,3,Clerical,0-1 Miles,Europe,42,Yes,
14669,Married,Female,80000.0,4,Management,0-1 Miles,Pacific,36,No,
19299,Married,Female,50000.0,0,Skilled Manual,0-1 Miles,Europe,36,Yes,
20946,Single,Female,30000.0,0,Clerical,2-5 Miles,Europe,30,No,
11451,Single,Male,70000.0,0,Professional,10+ Miles,Pacific,31,Yes,
25553,Married,Male,30000.0,1,Clerical,0-1 Miles,Europe,65,Yes,
27951,Single,Male,80000.0,4,Professional,2-5 Miles,Europe,54,Yes,
25026,Married,Male,20000.0,2,Clerical,5-10 Miles,Pacific,54,No,
13673,Single,Female,20000.0,2,Manual,0-1 Miles,Europe,25,No,
16043,Single,Male,10000.0,1,Manual,0-1 Miles,Europe,48,No,
22399,Single,Male,10000.0,0,Manual,1-2 Miles,Pacific,26,Yes,
27696,Married,Male,60000.0,1,Professional,5-10 Miles,Pacific,43,Yes,
25313,Single,Male,10000.0,0,Manual,1-2 Miles,Europe,35,No,
13813,Married,Female,30000.0,3,Clerical,0-1 Miles,Europe,42,No,
18711,Single,Female,70000.0,5,Professional,10+ Miles,Pacific,39,No,
19650,Married,Female,30000.0,2,Clerical,0-1 Miles,Pacific,67,No,
14135,Married,Male,20000.0,1,Manual,1-2 Miles,Europe,48,No,
12833,Single,Female,20000.0,3,Manual,0-1 Miles,Europe,42,Yes,
26849,Married,Male,10000.0,3,Manual,0-1 Miles,Europe,43,No,
20962,Married,Female,20000.0,1,Clerical,0-1 Miles,Europe,45,No,
28915,Single,Male,80000.0,5,Management,10+ Miles,Europe,57,No,
22830,Married,Male,120000.0,4,Management,10+ Miles,Europe,56,No,
14777,Married,Female,40000.0,0,Clerical,0-1 Miles,Europe,38,Yes,
12591,Married,Female,30000.0,4,Clerical,0-1 Miles,Europe,45,No,
24174,Married,Male,20000.0,0,Clerical,0-1 Miles,Pacific,27,Yes,
24611,Single,Male,90000.0,0,Professional,10+ Miles,Pacific,35,Yes,
11340,Married,Female,10000.0,1,Clerical,0-1 Miles,Europe,70,Yes,
25693,Single,Female,30000.0,5,Clerical,0-1 Miles,Europe,44,Yes,
25555,Married,Female,10000.0,0,Manual,0-1 Miles,Pacific,26,Yes,
22006,Married,Male,70000.0,5,Skilled Manual,5-10 Miles,Pacific,46,No,
20060,Single,Female,30000.0,0,Manual,2-5 Miles,Europe,34,Yes,
17702,Married,Male,10000.0,1,Manual,0-1 Miles,Europe,37,No,
12503,Single,Female,30000.0,3,Clerical,0-1 Miles,Europe,27,No,
23908,Single,Male,30000.0,1,Clerical,0-1 Miles,Europe,39,Yes,
22527,Single,Female,20000.0,0,Manual,2-5 Miles,Europe,29,No,
19057,Married,Female,120000.0,3,Management,10+ Miles,Europe,52,Yes,
18494,Married,Male,110000.0,5,Management,2-5 Miles,Pacific,48,Yes,
11249,Married,Female,130000.0,3,Professional,0-1 Miles,Europe,51,Yes,
21568,Married,Female,100000.0,0,Management,10+ Miles,Pacific,34,Yes,
13981,Married,Female,10000.0,5,Skilled Manual,1-2 Miles,Pacific,62,No,
23432,Single,Male,70000.0,0,Professional,5-10 Miles,Pacific,37,Yes,
22931,Married,Male,100000.0,5,Management,1-2 Miles,Pacific,78,Yes,
18172,Married,Male,130000.0,4,Professional,0-1 Miles,Europe,55,No,
12666,Single,Male,60000.0,0,Professional,2-5 Miles,Pacific,31,No,
20598,Married,Male,100000.0,3,Professional,10+ Miles,Europe,59,Yes,
21375,Single,Male,20000.0,2,Clerical,5-10 Miles,Pacific,57,No,
20839,Single,Female,30000.0,3,Clerical,0-1 Miles,Europe,47,Yes,
21738,Married,Male,20000.0,1,Clerical,0-1 Miles,Europe,43,No,
14164,Single,Female,50000.0,0,Skilled Manual,0-1 Miles,Europe,36,Yes,
14193,Single,Female,100000.0,3,Management,10+ Miles,Europe,56,No,
12705,Married,Male,150000.0,0,Management,0-1 Miles,Pacific,37,Yes,
22672,Single,Female,30000.0,2,Clerical,0-1 Miles,Europe,43,No,
26219,Married,Female,40000.0,1,Skilled Manual,1-2 Miles,Europe,33,Yes,
28468,Married,Female,10000.0,2,Manual,1-2 Miles,Europe,51,No,
23419,Single,Female,70000.0,5,Professional,10+ Miles,Pacific,39,No,
17964,Married,Male,40000.0,0,Clerical,0-1 Miles,Europe,37,Yes,
20919,Single,Female,30000.0,2,Clerical,0-1 Miles,Europe,42,No,
20927,Single,Female,20000.0,5,Manual,0-1 Miles,Europe,27,No,
13133,Single,Male,100000.0,5,Professional,5-10 Miles,Pacific,47,Yes,
19626,Married,Male,70000.0,5,Skilled Manual,5-10 Miles,Pacific,45,No,
21039,Single,Female,50000.0,0,Skilled Manual,0-1 Miles,Europe,37,Yes,
12231,Single,Female,10000.0,2,Manual,0-1 Miles,Europe,51,Yes,
25665,Single,Female,20000.0,0,Manual,1-2 Miles,Europe,28,No,
24061,Married,Male,10000.0,4,Manual,0-1 Miles,Europe,40,Yes,
26879,Single,Female,20000.0,0,Manual,2-5 Miles,Europe,30,No,
12284,Married,Female,30000.0,0,Clerical,0-1 Miles,Europe,36,Yes,
26654,Married,Female,90000.0,1,Management,0-1 Miles,Pacific,37,Yes,
14545,Married,Female,10000.0,2,Manual,1-2 Miles,Europe,49,No,
24201,Married,Female,10000.0,2,Manual,0-1 Miles,Europe,37,Yes,
20625,Married,Male,100000.0,0,Management,10+ Miles,Pacific,35,Yes,
16390,Single,Male,30000.0,1,Clerical,0-1 Miles,Europe,38,Yes,
14804,Single,Female,10000.0,3,Manual,0-1 Miles,Europe,43,No,
12629,Single,Male,20000.0,1,Manual,0-1 Miles,Europe,37,No,
14696,Single,Male,10000.0,0,Manual,0-1 Miles,Europe,34,No,
22005,Married,Female,70000.0,5,Skilled Manual,5-10 Miles,Pacific,46,No,
14544,Single,Male,10000.0,1,Manual,0-1 Miles,Europe,49,No,
14312,Married,Female,60000.0,1,Skilled Manual,5-10 Miles,Pacific,45,No,
29120,Single,Female,100000.0,1,Management,2-5 Miles,Pacific,48,No,
24187,Single,Female,30000.0,3,Clerical,0-1 Miles,Europe,46,Yes,
15758,Married,Male,130000.0,0,Management,5-10 Miles,Pacific,48,No,
29094,Married,Male,30000.0,3,Skilled Manual,5-10 Miles,Pacific,54,Yes,
28319,Single,Female,60000.0,1,Skilled Manual,0-1 Miles,Pacific,46,Yes,
16406,Married,Male,40000.0,0,Clerical,0-1 Miles,Europe,38,Yes,
20923,Married,Female,40000.0,1,Skilled Manual,0-1 Miles,Europe,42,Yes,
11378,Single,Female,10000.0,1,Manual,2-5 Miles,Europe,46,Yes,
20851,Single,Male,20000.0,0,Manual,2-5 Miles,Europe,36,Yes,
21557,Single,Female,110000.0,0,Management,10+ Miles,Pacific,32,Yes,
26663,Single,Female,60000.0,2,Professional,0-1 Miles,Pacific,39,Yes,
11896,Married,Male,100000.0,1,Management,2-5 Miles,Pacific,36,Yes,
14189,Married,Female,90000.0,4,Professional,2-5 Miles,Europe,54,Yes,
13136,Married,Female,30000.0,2,Clerical,5-10 Miles,Pacific,69,No,
25906,Single,Female,10000.0,5,Skilled Manual,1-2 Miles,Pacific,62,No,
17926,Single,Female,30000.0,0,Clerical,0-1 Miles,Pacific,28,Yes,
26928,Single,Male,30000.0,1,Clerical,0-1 Miles,Europe,62,Yes,
20897,Married,Female,30000.0,1,Skilled Manual,0-1 Miles,Europe,40,No,
28207,Married,Male,80000.0,4,Management,0-1 Miles,Pacific,36,Yes,
25923,Single,Male,10000.0,2,Clerical,5-10 Miles,Pacific,58,No,
11000,Married,Male,90000.0,2,Professional,1-2 Miles,Pacific,40,Yes,
20974,Married,Male,10000.0,2,Clerical,0-1 Miles,Europe,66,No,
28758,Married,Male,40000.0,2,Clerical,1-2 Miles,Europe,35,Yes,
11381,Married,Female,20000.0,2,Manual,2-5 Miles,Europe,47,Yes,
17522,Married,Male,120000.0,4,Management,2-5 Miles,Pacific,47,No,
21207,Married,Male,60000.0,1,Skilled Manual,5-10 Miles,Pacific,46,No,
28102,Married,Male,20000.0,4,Skilled Manual,5-10 Miles,Pacific,58,Yes,
23105,Single,Male,40000.0,3,Clerical,5-10 Miles,Pacific,52,Yes,
18740,Married,Male,80000.0,5,Professional,0-1 Miles,Pacific,47,Yes,
21213,Single,Male,70000.0,0,Professional,5-10 Miles,Pacific,41,No,
17352,Married,Male,50000.0,2,Management,5-10 Miles,Pacific,64,Yes,
14154,Married,Male,30000.0,0,Clerical,0-1 Miles,Europe,35,Yes,
19066,Married,Male,130000.0,4,Professional,10+ Miles,Europe,54,No,
11386,Married,Female,30000.0,3,Clerical,0-1 Miles,Europe,45,No,
20228,Married,Male,100000.0,0,Management,2-5 Miles,Pacific,40,Yes,
16675,Single,Female,160000.0,0,Management,0-1 Miles,Pacific,47,Yes,
16410,Single,Female,10000.0,4,Manual,0-1 Miles,Europe,41,Yes,
27760,Single,Female,40000.0,0,Clerical,0-1 Miles,Europe,37,Yes,
22930,Married,Male,90000.0,4,Professional,1-2 Miles,Pacific,38,Yes,
23780,Single,Male,40000.0,2,Clerical,0-1 Miles,Europe,36,Yes,
20994,Married,Female,20000.0,0,Clerical,0-1 Miles,Pacific,26,Yes,
28379,Married,Male,30000.0,1,Skilled Manual,0-1 Miles,Europe,40,No,
14865,Single,Male,40000.0,2,Clerical,1-2 Miles,Europe,36,No,
12663,Married,Female,90000.0,5,Skilled Manual,10+ Miles,Europe,59,No,
24898,Single,Female,80000.0,0,Professional,10+ Miles,Pacific,32,No,
19508,Married,Male,10000.0,0,Manual,0-1 Miles,Europe,30,No,
11489,Single,Female,20000.0,0,Manual,1-2 Miles,Europe,35,Yes,
18160,Married,Male,130000.0,3,Professional,5-10 Miles,Europe,51,Yes,
25241,Married,Male,90000.0,2,Professional,5-10 Miles,Pacific,47,No,
24369,Married,Female,80000.0,5,Management,0-1 Miles,Pacific,39,No,
27165,Single,Male,20000.0,0,Manual,0-1 Miles,Europe,34,No,
29424,Married,Male,10000.0,0,Manual,0-1 Miles,Europe,32,No,
15926,Single,Female,120000.0,3,Professional,5-10 Miles,Europe,50,Yes,
14554,Married,Male,20000.0,1,Clerical,0-1 Miles,Europe,66,No,
16468,Single,Male,30000.0,0,Clerical,2-5 Miles,Europe,30,No,
19174,Single,Female,30000.0,0,Manual,2-5 Miles,Europe,32,Yes,
19183,Single,Male,10000.0,0,Manual,1-2 Miles,Europe,35,No,
13683,Single,Female,30000.0,0,Manual,2-5 Miles,Europe,32,No,
17848,Single,Male,30000.0,0,Clerical,2-5 Miles,Europe,31,Yes,
17894,Married,Female,20000.0,1,Clerical,0-1 Miles,Europe,50,Yes,
25651,Married,Male,40000.0,1,Skilled Manual,0-1 Miles,Europe,43,Yes,
22936,Single,Female,60000.0,1,Skilled Manual,0-1 Miles,Pacific,45,Yes,
23915,Married,Male,20000.0,2,Manual,0-1 Miles,Europe,42,No,
24121,Single,Female,30000.0,0,Clerical,0-1 Miles,Europe,29,Yes,
27878,Single,Male,20000.0,0,Manual,0-1 Miles,Pacific,28,Yes,
13572,Single,Male,10000.0,3,Manual,0-1 Miles,Europe,37,Yes,
27941,Married,Female,80000.0,4,Professional,2-5 Miles,Europe,53,No,
26354,Single,Male,40000.0,0,Clerical,0-1 Miles,Europe,38,Yes,
14785,Single,Male,30000.0,1,Clerical,1-2 Miles,Europe,39,No,
